Date,PM10,Policy,Total Confirmed,New Cases,New Deaths,Recovered Population,Accumulative Deaths,Measured Current Infected,Population,CurrentInfected_pc,New_Cases_pc,Active_Cases_pc,retail_and_recreation_mob,grocery_and_pharmacy_mob,parks_percent_mob,transit_stations_mob,workplaces_mob,residential_mob,avg_mob,Nightlights_City,NightLights_Cidade de Deus,Nightlights_Pedra de Guaratiba,Nightlights_Copacabana,Night_lightsIpanema,Nightlights_Centro,Nightlights_Cidade Nova,Nightlights_Barra da Tijuca,Nightlights_Campo Grande
284,,7.3,151893,698,136,129218,14015,8660,6718903,0.103886006391222,0.103886006391222,1.28890088158737,-21,17,-26,-21,-15,8,-9.66666666666667,,,,,,,,,
285,,7.3,153027,713,26,130013,14151,8863,6718903,0.106118513691893,0.106118513691893,1.31911414705645,-21,18,-26,-20,-14,9,-9,,,,,,,,,
286,,7.3,154183,743,60,131008,14177,8998,6718903,0.110583528293235,0.110583528293235,1.33920671276249,-13,24,-8,-13,-12,7,-2.5,,,,,,,,,
287,,7.3,155434,573,56,131994,14237,9203,6718903,0.085281778885631,0.085281778885631,1.36971764587166,-14,22,-22,-1,7,4,-0.666666666666667,,,,,,,,,
288,,7.3,156389,805,0,132801,14293,9295,6718903,0.119811225136008,0.119811225136008,1.38341035731577,-19,25,-15,-4,11,5,0.5,,,,,,,,,
289,,7.3,156583,776,3,133145,14293,9145,6718903,0.115495044354711,0.115495044354711,1.36108528430906,-10,30,-16,-15,-14,6,-3.16666666666667,,,,,,,,,
290,,7.3,156818,677,84,133678,14296,8844,6718903,0.100760496170283,0.100760496170283,1.3162863044756,-20,22,-43,-20,-20,9,-12,,,,,,,,,
291,,7.3,157693,715,17,134410,14380,8903,6718903,0.106416181331982,0.106416181331982,1.32506749985824,-10,54,-39,-16,-18,6,-3.83333333333333,,,,,,,,,
292,,7.3,158481,597,84,135134,14397,8950,6718903,0.088853790566704,0.088853790566704,1.33206268940034,-43,26,-54,-43,-44,14,-24,,,,,,,,,
293,,7.3,159865,838,42,136242,14481,9142,6718903,0.124722741197484,0.124722741197484,1.36063878284893,-84,-77,-63,-74,-74,19,-58.8333333333333,,,,,,,,,
294,,7.3,160369,696,3,136782,14523,9064,6718903,0.103588338751132,0.103588338751132,1.34902974488544,-36,-3,-36,-28,-11,10,-17.3333333333333,,,,,,,,,
295,,7.3,160540,627,6,137142,14526,8872,6718903,0.093318805168046,0.093318805168046,1.32045365143685,-45,-9,-66,-33,-6,11,-24.6666666666667,,,,,,,,,
296,,7.3,161003,850,16,137649,14532,8822,6718903,0.126508747038021,0.126508747038021,1.31301196043461,-23,18,-32,-27,-20,10,-12.3333333333333,,,,,,,,,
297,,7.3,161191,587,85,137987,14548,8656,6718903,0.087365452366257,0.087365452366257,1.28830554630719,-25,17,-28,-28,-24,11,-12.8333333333333,,,,,,,,,
298,,7.3,162772,635,110,139233,14633,8906,6718903,0.094509475728404,0.094509475728404,1.32551400131837,-19,43,-20,-26,-22,8,-6,,,,,,,,,
299,,7.3,164782,582,117,140601,14743,9438,6718903,0.086621283266033,0.086621283266033,1.40469359358217,-49,25,-21,-46,-46,13,-20.6666666666667,,,,,,,,,
300,,7.3,165079,911,45,140828,14860,9391,6718903,0.13558761006075,0.13558761006075,1.39769840404006,-79,-74,-25,-73,-74,18,-51.1666666666667,,,,,,,,,
301,,7.3,165158,716,1,141064,14905,9189,6718903,0.106565015152027,0.106565015152027,1.36763397239103,-56,-22,-63,-44,-27,14,-33,,,,,,,,,
302,,7.3,165163,695,7,141241,14906,9016,6718903,0.103439504931088,0.103439504931088,1.34188572152329,-43,-3,-47,-28,-5,9,-19.5,,,,,,,,,
303,,7.3,165189,752,2,141452,14913,8824,6718903,0.111923032673637,0.111923032673637,1.3133096280747,-31,13,-23,-27,-19,9,-13,,,,,,,,,
304,,7.3,167858,685,162,143422,14915,9521,6718903,0.10195116673064,0.10195116673064,1.41704680064588,-32,9,-18,-27,-21,11,-13,,,,,,,,,
305,,7.3,169372,528,103,144534,15077,9761,6718903,0.078584256983618,0.078584256983618,1.45276691745661,-31,10,-22,-28,-19,10,-13.3333333333333,,,,,,,,,
306,,7.3,170636,555,132,145477,15180,9979,6718903,0.082602770124826,0.082602770124826,1.48521269022637,-31,9,-11,-27,-18,11,-11.1666666666667,,,,,,,,,
307,,7.3,171843,591,111,146353,15312,10178,6718903,0.087960787646436,0.087960787646436,1.51483062041527,-24,16,1,-23,-16,9,-6.16666666666667,,,,,,,,,
308,,7.3,172999,424,104,147263,15423,10313,6718903,0.063105539698966,0.063105539698966,1.53492318612131,-27,11,-23,-18,1,7,-8.16666666666667,,,,,,,,,
309,,7.3,173291,608,5,147781,15527,9983,6718903,0.090490962587196,0.090490962587196,1.48580802550654,-34,6,-20,-21,1,6,-10.3333333333333,,,,,,,,,
310,,7.3,174154,531,1,148493,15532,10129,6718903,0.079030758443752,0.079030758443752,1.50753776323308,-27,12,-20,-26,-16,8,-11.5,,,,,,,,,
311,,7.3,174347,503,131,148968,15533,9846,6718903,0.0748634114825,0.0748634114825,1.46541779216042,-32,2,-14,-28,-20,10,-13.6666666666667,,,,,,,,,
312,,7.3,175452,433,130,149673,15664,10115,6718903,0.064445044079368,0.064445044079368,1.50545408975245,-32,4,-20,-31,-21,8,-15.3333333333333,,,,,,,,,
313,,7.3,176421,392,156,150343,15794,10284,6718903,0.058342857457534,0.058342857457534,1.53060700534001,-35,-2,-16,-33,-21,8,-16.5,,,,,,,,,
314,,7.3,177569,489,67,150942,15950,10677,6718903,0.072779738001873,0.072779738001873,1.58909869661759,-30,1,1,-30,-21,7,-12,,,,,,,,,
315,,7.3,178464,338,84,151639,16017,10808,6718903,0.050305831175119,0.050305831175119,1.60859592704345,-33,-3,-11,-24,-7,4,-12.3333333333333,,,,,,,,,
316,,7.3,179478,359,18,152329,16101,11048,6718903,0.053431341396058,0.053431341396058,1.64431604385418,-36,-4,0,-22,-6,3,-10.8333333333333,,,,,,,,,
317,,7.3,179788,453,8,152838,16119,10831,6718903,0.067421720480263,0.067421720480263,1.61201910490448,-34,-2,-11,-31,-21,6,-15.5,,,,,,,,,
318,,7.3,179955,349,193,153321,16127,10507,6718903,0.051943003195611,0.051943003195611,1.56379694720998,-32,0,-10,-30,-22,7,-14.5,,,,,,,,,
319,,,,373,,,,373,6718903,,0.055515014876685,,,,,,,,,,,,,,,,,
320,,,,300,,,,300,6718903,,0.044650146013419,,,,,,,,,,,,,,,,,
321,,,,341,,,,341,6718903,,0.050752332635253,,,,,,,,,,,,,,,,,
322,,,,278,,,,278,6718903,,0.041375801972435,,,,,,,,,,,,,,,,,
323,,,,243,,,,243,6718903,,0.03616661827087,,,,,,,,,,,,,,,,,
324,,,,377,,,,377,6718903,,0.056110350156863,,,,,,,,,,,,,,,,,
325,,,,293,,,,293,6718903,,0.043608309273106,,,,,,,,,,,,,,,,,
326,,,,222,,,,222,6718903,,0.03304110804993,,,,,,,,,,,,,,,,,
327,,,,260,,,,260,6718903,,0.03869679321163,,,,,,,,,,,,,,,,,
328,,,,205,,,,205,6718903,,0.03051093310917,,,,,,,,,,,,,,,,,
329,,,,155,,,,155,6718903,,0.023069242106933,,,,,,,,,,,,,,,,,
330,,,,193,,,,193,6718903,,0.028724927268633,,,,,,,,,,,,,,,,,
331,,,,341,,,,341,6718903,,0.050752332635253,,,,,,,,,,,,,,,,,
332,,,,244,,,,244,6718903,,0.036315452090914,,,,,,,,,,,,,,,,,
333,,,,207,,,,207,6718903,,0.030808600749259,,,,,,,,,,,,,,,,,
334,,,,197,,,,197,6718903,,0.029320262548812,,,,,,,,,,,,,,,,,
335,,,,220,,,,220,6718903,,0.032743440409841,,,,,,,,,,,,,,,,,
336,,,,153,,,,153,6718903,,0.022771574466844,,,,,,,,,,,,,,,,,
337,,,,171,,,,171,6718903,,0.025450583227649,,,,,,,,,,,,,,,,,
338,,,,240,,,,240,6718903,,0.035720116810735,,,,,,,,,,,,,,,,,
339,,,,183,,,,183,6718903,,0.027236589068186,,,,,,,,,,,,,,,,,
340,,,,223,,,,223,6718903,,0.033189941869975,,,,,,,,,,,,,,,,,
341,,,,183,,,,183,6718903,,0.027236589068186,,,,,,,,,,,,,,,,,
342,,,,228,,,,228,6718903,,0.033934110970199,,,,,,,,,,,,,,,,,
343,,,,162,,,,162,6718903,,0.024111078847246,,,,,,,,,,,,,,,,,
344,,,,165,,,,165,6718903,,0.024557580307381,,,,,,,,,,,,,,,,,
345,,,,267,,,,267,6718903,,0.039738629951943,,,,,,,,,,,,,,,,,
346,,,,195,,,,195,6718903,,0.029022594908723,,,,,,,,,,,,,,,,,
347,,,,206,,,,206,6718903,,0.030659766929215,,,,,,,,,,,,,,,,,
348,,,,255,,,,255,6718903,,0.037952624111406,,,,,,,,,,,,,,,,,
349,,,,247,,,,247,6718903,,0.036761953551049,,,,,,,,,,,,,,,,,
350,,,,238,,,,238,6718903,,0.035422449170646,,,,,,,,,,,,,,,,,
351,,,,179,,,,179,6718903,,0.026641253788007,,,,,,,,,,,,,,,,,
352,,,,249,,,,249,6718903,,0.037059621191138,,,,,,,,,,,,,,,,,
353,,,,217,,,,217,6718903,,0.032296938949707,,,,,,,,,,,,,,,,,
354,,,,191,,,,191,6718903,,0.028427259628544,,,,,,,,,,,,,,,,,
355,,,,225,,,,225,6718903,,0.033487609510064,,,,,,,,,,,,,,,,,
356,,,,168,,,,168,6718903,,0.025004081767515,,,,,,,,,,,,,,,,,
357,,,,141,,,,141,6718903,,0.020985568626307,,,,,,,,,,,,,,,,,
358,,,,160,,,,160,6718903,,0.023813411207157,,,,,,,,,,,,,,,,,
359,,,,240,,,,240,6718903,,0.035720116810735,,,,,,,,,,,,,,,,,
360,,,,150,,,,150,6718903,,0.02232507300671,,,,,,,,,,,,,,,,,
361,,,,126,,,,126,6718903,,0.018753061325636,,,,,,,,,,,,,,,,,
362,,,,122,,,,122,6718903,,0.018157726045457,,,,,,,,,,,,,,,,,
363,,,,89,,,,89,6718903,,0.013246209983981,,,,,,,,,,,,,,,,,
364,,,,56,,,,56,6718903,,0.008334693922505,,,,,,,,,,,,,,,,,
365,,,,39,,,,39,6718903,,0.005804518981744,,,,,,,,,,,,,,,,,
366,,,,56,,,,56,6718903,,0.008334693922505,,,,,,,,,,,,,,,,,
367,,,,31,,,,31,6718903,,0.004613848421387,,,,,,,,,,,,,,,,,
368,,,,308,,,,308,6718903,,0.045840816573777,,,,,,,,,,,,,,,,,
