Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion
Ñuble,16,Bulnes,16102,426.4,22607.0
Ñuble,16,El Carmen,16104,666.04,12334.0
Ñuble,16,Pemuco,16105,563.26,8639.0
Ñuble,16,Pinto,16106,1102.7,11880.0
Ñuble,16,Quillón,16107,406.52,18777.0
Ñuble,16,San Ignacio,16108,363.25,16624.0
Ñuble,16,Yungay,16109,824.72,18596.0
Ñuble,16,Quirihue,16201,589.85,12192.0
Ñuble,16,Cobquecura,16202,569.21,5275.0
Ñuble,16,Coelemu,16203,342.32,16845.0
Ñuble,16,Ninhue,16204,403.19,5414.0
Ñuble,16,Portezuelo,16205,289.24,4940.0
Ñuble,16,Ranquil,16206,247.42,6261.0
Ñuble,16,Treguaco,16207,313.0,5696.0
Ñuble,16,San Carlos,16301,877.81,56252.0
Ñuble,16,Coihueco,16302,1771.65,28375.0
Ñuble,16,Ñiquén,16303,492.34,11567.0
Ñuble,16,San Fabián,16304,1541.59,4654.0
Ñuble,16,San Nicolás,16305,565.94,12172.0
Metropolitana de Santiago,13,Tiltil,13303,654.65,21477.0
Metropolitana de Santiago,13,Colina,13301,970.86,180353.0
Metropolitana de Santiago,13,Lampa,13302,449.52,126898.0
Metropolitana de Santiago,13,Quilicura,13125,57.32,254694.0
Metropolitana de Santiago,13,Pudahuel,13124,198.57,253139.0
Metropolitana de Santiago,13,Cerro Navia,13103,11.05,142465.0
Metropolitana de Santiago,13,Renca,13128,23.68,160847.0
Metropolitana de Santiago,13,Quinta Normal,13126,11.8,136368.0
Metropolitana de Santiago,13,Huechuraba,13107,44.98,112528.0
Metropolitana de Santiago,13,Conchalí,13104,10.94,139195.0
Metropolitana de Santiago,13,Independencia,13108,7.35,142065.0
Metropolitana de Santiago,13,Recoleta,13127,15.61,190075.0
Metropolitana de Santiago,13,Vitacura,13132,28.59,96774.0
Metropolitana de Santiago,13,Providencia,13123,14.44,157749.0
Metropolitana de Santiago,13,Las Condes,13114,99.06,330759.0
Metropolitana de Santiago,13,Ñuñoa,13120,16.89,250192.0
Metropolitana de Santiago,13,Santiago,13101,23.18,503147.0
Metropolitana de Santiago,13,Lo Prado,13117,6.54,104403.0
Metropolitana de Santiago,13,Estación Central,13106,14.37,206792.0
Metropolitana de Santiago,13,Maipú,13119,136.8,578605.0
Metropolitana de Santiago,13,Pedro Aguirre Cerda,13121,8.73,107803.0
Metropolitana de Santiago,13,Cerrillos,13102,16.82,88956.0
Metropolitana de Santiago,13,San Miguel,13130,9.63,133059.0
Metropolitana de Santiago,13,San Joaquín,13129,9.94,103485.0
Metropolitana de Santiago,13,Macul,13118,12.81,134635.0
Metropolitana de Santiago,13,La Reina,13113,23.39,100252.0
Metropolitana de Santiago,13,Peñalolén,13122,53.89,266798.0
Metropolitana de Santiago,13,Lo Espejo,13116,8.25,103865.0
Metropolitana de Santiago,13,La Cisterna,13109,10.01,100434.0
Metropolitana de Santiago,13,La Granja,13111,10.05,122557.0
Metropolitana de Santiago,13,San Ramón,13131,6.31,86510.0
Metropolitana de Santiago,13,La Florida,13110,71.04,402433.0
Metropolitana de Santiago,13,El Bosque,13105,14.25,172000.0
Metropolitana de Santiago,13,La Pintana,13112,30.47,189335.0
Metropolitana de Santiago,13,Calera de Tango,13403,73.22,28525.0
Metropolitana de Santiago,13,Puente Alto,13201,88.39,645909.0
Metropolitana de Santiago,13,Talagante,13601,125.23,81838.0
Metropolitana de Santiago,13,Buin,13402,217.03,109641.0
Metropolitana de Santiago,13,San Bernardo,13401,153.85,334836.0
Metropolitana de Santiago,13,Padre Hurtado,13604,80.64,74188.0
Metropolitana de Santiago,13,Peñaflor,13605,69.42,101058.0
Metropolitana de Santiago,13,El Monte,13602,115.97,40014.0
Valparaíso,5,Limache,5802,294.88,49931.0
Valparaíso,5,Viña del Mar,5109,120.56,361371.0
Valparaíso,5,Villa Alemana,5804,96.37,139310.0
Valparaíso,5,Quillota,5501,301.24,97572.0
Ñuble,16,Chillán Viejo,16103,262.61,33827.0
Biobío,8,Tomé,8111,494.32,58729.0
Biobío,8,Penco,8107,108.38,49865.0
Biobío,8,Concepción,8101,220.2,238092.0
Biobío,8,Chiguayante,8103,71.4,91180.0
Biobío,8,Hualpén,8112,53.77,97273.0
Biobío,8,San Pedro de la Paz,8108,112.86,145906.0
Biobío,8,Hualqui,8105,535.85,26201.0
Magallanes y de la Antártica Chilena,12,Río Verde,12103,9147.57,211.0
Valparaíso,5,Concón,5103,76.93,45889.0
