Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Talca_La_Florida,Padre_Las_Casas_II,Coyhaique_II,Valdivia
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Maule,Araucanía,Aysén,Los Ríos
Codigo region,13,13,13,13,13,13,13,13,13,13,13,7,9,11,14
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Talca,Padre las Casas,Coyhaique,Valdivia
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,7101,9112,11101,14101
2016-12-13 07:00:00,29.6000003814697,29.0900001525879,14.4650001525879,27.4066009521484,28.1641998291016,21.4766998291016,22.9734001159668,19.9575004577637,23.3892002105713,7.46000003814697,,1.18400001525879,4.2591700553894,1.29392004013062,6.24158000946045
2016-12-13 08:00:00,30.551700592041,30.7567005157471,13.7224998474121,36.2400016784668,33.1300010681152,21.7266998291016,22.1399993896484,20.0400009155273,22.3757991790771,8.72667026519775,,1,1.41132998466492,1,3.34575009346008
2016-12-13 09:00:00,26.3817005157471,24.3400001525879,13.7224998474121,34.6567001342773,33.4667015075684,23.3932991027832,24.8899993896484,22.5149993896484,25.4132995605469,4.20916986465454,,1,1.08566999435425,1,1.78083002567291
2016-12-13 10:00:00,35.1066017150879,31.3400001525879,18.8374996185303,26.573299407959,29.67919921875,24.1432991027832,24.3066997528076,16.9874992370605,22.0233001708984,1.42917001247406,,1,1,1,1.2924200296402
2016-12-13 11:00:00,31.3483009338379,26.1732997894287,23.4575004577637,28.9066009521484,24.6291999816895,15.3516998291016,12.5566997528076,16.1725006103516,16.2341995239258,1,,1,1,1,1.14832997322083
2016-12-13 12:00:00,29.1616992950439,18.3192005157471,29.0674991607666,19.823299407959,13.9399995803833,5.97665977478027,10.9567003250122,5.69250011444092,4.86090993881226,1,,1.17839002609253,1,1,2.18950009346008
2016-12-13 13:00:00,17.7091999053955,10.539999961853,23.7049999237061,9.13333034515381,8.30082988739014,5.47665977478027,10.0066995620728,2.45917010307312,,1,,1,1,1,1.73458003997803
2016-12-13 14:00:00,13.6183004379272,5.45666980743408,15.7025003433228,7.31334018707275,7.96415996551514,4.64333009719849,10.7067003250122,1.16999995708466,,1,,,1,1,1.75849997997284
2016-12-13 15:00:00,19.6042003631592,3.62333011627197,12.6499996185303,4.73666000366211,10.9941997528076,4.05999994277954,9.02332973480225,1.9483300447464,,,,1,1,1,2.13525009155273
2016-12-13 16:00:00,23.4582996368408,6.79416990280151,8.02999973297119,5.87334012985229,10.4891996383667,6.22665977478027,7.80667018890381,1.25250005722046,,,,1,1.1086699962616,1,2.07224988937378
