Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Antofagasta,Copiapó,Andacollo,Cuncumén,Viña_del_Mar,Rancagua_I,Rancagua_II,Rengo,San_Fernando,Curicó,Talca_La_Florida,UC_Maule,U_Talca,M_Ferroviario,Nielol,Las_Encinas,Padre_las_Casas,Valdivia,Osorno,Coyhaique_I,Coyhaique_II
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Antofagasta,Atacama,Coquimbo,Coquimbo,Valparaíso,O’Higgins,O’Higgins,O’Higgins,O’Higgins,Maule,Maule,Maule,Maule,Araucanía,Araucanía,Araucanía,Araucanía,Los Ríos,Los Lagos,Aysén,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,2,3,4,4,5,6,6,6,6,7,7,7,7,9,9,9,9,14,10,11,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Antofagasta,Copiapo,Andacollo,Salamanca,Vina del mar,Rancagua,Rancagua,Rengo,San Fernando,Curico,Talca,Talca,Talca,Temuco,Temuco,Temuco,Padre las Casas,Valdivia,Osorno,Coyhaique,Coyhaique
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,2101,3101,4103,4204,5109,6101,6101,6115,6301,7301,7101,7101,7101,9101,9101,9101,9112,14101,10301,11101,11101
2017-09-18 06:00:00,40,32,36,21,17,21,23,,24,14,47,44,13.1674995422363,29.3575000762939,13,19.6599998474121,37.9799995422363,33.0800018310547,12.7399997711182,14.6875,7.75899982452393,11.6499996185303,17,10.1700000762939,,8.10000991821289,10.9099998474121,,19.0200004577637,16.5100002288818,31.5599994659424,54.6399993896484
2017-09-18 07:00:00,61,25,35,23,18,27,17,,16,17,51,32,24.7824993133545,37.7682991027832,29,21.7199993133545,37.8800010681152,31,22,12.1700000762939,8.99300003051758,7.48600006103516,13.3299999237061,7.45599985122681,,14.7299995422363,12.5500001907349,11.8800001144409,48.1199989318848,11.9899997711182,66.8300018310547,78.3899993896484
2017-09-18 08:00:00,43,41,69,52,23,36,27,,38,20,56,51,42.6474990844727,35.0374984741211,32,22.3999996185303,37.0200004577637,26,15.289999961853,13.9891996383667,16.9692001342773,11.6099996566772,18.5900001525879,7.1269998550415,,10.6599998474121,12.5,10.5200004577637,62.4799995422363,11.9700002670288,41.060001373291,35.75
2017-09-18 09:00:00,60,51,70,37,37,36,36,,82,23,60,42,61.3875007629395,18.6100006103516,30,22.1000003814697,55.6100006103516,31,23,15.3633003234863,15.5100002288818,11.4799995422363,20.1100006103516,10.1700000762939,,9.65999984741211,12.5500001907349,13.5699996948242,25.7399997711182,21,24.7800006866455,18.0900001525879
2017-09-18 10:00:00,80,58,73,57,45,49,48,,76,26,73,41,57.8899993896484,7.56416988372803,9,17.6399993896484,65.9899978637695,38.3582992553711,33,19.4067001342773,15.1241998672485,17.6000003814697,22.1200008392334,10.1700000762939,,18.4200000762939,23.5799999237061,33.4300003051758,28.1700000762939,16.5100002288818,28.8400001525879,24.8899993896484
2017-09-18 11:00:00,62,61,79,45,104,52,45,,53,22,77,37,59.4659004211426,5.74782991409302,14,16.2900009155273,66.7699966430664,41.2366981506348,36,24.0200004577637,14.9917001724243,15.8800001144409,19.5,12.8800001144409,,18.9099998474121,26.2999992370605,46.2299995422363,30.4699993133545,23.9500007629395,28.8400001525879,20.8099994659424
2017-09-18 12:00:00,55,61,86,43,75,38,45,,43,28,68,34,52.2224998474121,6.90758991241455,15,16.9400005340576,63.7400016784668,45.5358009338379,44,24.0599994659424,26.7567005157471,22.3099994659424,24.5400009155273,11.6499996185303,,17.6200008392334,35.8300018310547,40.6300010681152,33.8499984741211,18,32.9000015258789,27.6000003814697
2017-09-18 13:00:00,48,70,93,38,99,47,34,,41,29,92,37,53.7916984558105,14.3625001907349,20,13.8100004196167,69.1600036621094,43.073299407959,36,26.010799407959,24.2108001708984,15.7700004577637,21.9699993133545,10.1700000762939,,25.6700000762939,29.0200004577637,40.5200004577637,28.5200004577637,38.5299987792969,35.939998626709,58.8499984741211
2017-09-18 14:00:00,57,38,106,47,73,46,33,,33,38,84,34,55.5457992553711,21.9034004211426,15,13.7600002288818,49.6699981689453,46.3692016601562,27,27.2383003234863,21.5557994842529,15.539999961853,18.3700008392334,12.8800001144409,,25.5300006866455,34.4700012207031,46.2299995422363,14.710000038147,33.0299987792969,13.9099998474121,50.7000007629395
2017-09-18 15:00:00,41,32,103,42,59,53,30,,24,36,63,30,55.4049987792969,26.5025005340576,14,14.9300003051758,46.1100006103516,38.4407997131348,29,19.9549999237061,28.07080078125,14.1199998855591,16.0100002288818,4.51800012588501,,27.0599994659424,26.2999992370605,40.9000015258789,16.3199996948242,38.5299987792969,12.210000038147,61.560001373291
2017-09-18 16:00:00,46,28,82,46,64,47,33,,27,40,57,26,46.8358001708984,24.9641990661621,17,21.7600002288818,47.4700012207031,39.6316986083984,30,24.159200668335,17.4741992950439,12.6899995803833,18.9599990844727,4.52299976348877,,16.2000007629395,18.1299991607666,36.8699989318848,14.9399995803833,30.6399993896484,13.2299995422363,41.189998626709
2017-09-18 17:00:00,51,38,71,47,54,42,32,,39,34,57,25,44.0640983581543,25.3882999420166,19,23.0799999237061,47.4700012207031,40.4500007629395,34,25.6025009155273,24.8057994842529,24.1100006103516,18.3899993896484,10.1300001144409,,12.2799997329712,18.1299991607666,52.2599983215332,16.9099998474121,30.2800006866455,22.3700008392334,30.3199996948242
2017-09-18 18:00:00,52,39,58,49,56,49,37,,41,33,59,24,34.2975006103516,28.6091995239258,25,29.1499996185303,50.1800003051758,32.3157997131348,42,29.3083000183105,33.0882987976074,23.6100006103516,24.5699996948242,16,,18.5,27.6599998474121,46.8800010681152,38.8300018310547,54.6800003051758,47.0999984741211,39.8300018310547
2017-09-18 19:00:00,49,39,49,39,50,53,38,,47,31,64,29,14.8466997146606,26.6625003814697,17,28.6000003814697,50.3400001525879,40,34,40.9099998474121,46.3958015441895,42.939998626709,34.8300018310547,12.8800001144409,,16.2000007629395,39.9199981689453,59.8699989318848,66.5400009155273,36.7200012207031,153.100006103516,71.0699005126953
2017-09-18 20:00:00,42,40,53,32,54,39,37,,50,25,53,25,7.57025003433228,28.0275001525879,17,31.2099990844727,56.9599990844727,39,47,45.4425010681152,50.2924995422363,19.5100002288818,45.4700012207031,12.8800001144409,,20.8600006103516,25.8500003814697,47.6300010681152,54.5,20.2399997711182,37.2799987792969,43.9000015258789
2017-09-18 21:00:00,39,50,53,45,47,42,34,,45,24,50,22,8.10000991821289,23.3316993713379,17,27.8199996948242,54.25,33.0200004577637,42,41.9282989501953,50.0475006103516,22.1200008392334,40.1199989318848,21.0100002288818,,25.6700000762939,38.560001373291,34.4900016784668,67.9100036621094,24,68.129997253418,45.1300010681152
2017-09-18 22:00:00,43,45,55,34,44,46,30,,40,18,52,26,9.77999973297119,19.7117004394531,17,23.2999992370605,42.4700012207031,34.4132995605469,54,45.0175018310547,45.5341987609863,49.7400016784668,38.4700012207031,12.8800001144409,,24.5,34.3800010681152,33.4500007629395,45.7799987792969,16.5100002288818,38.6500015258789,34.2799987792969
2017-09-18 23:00:00,42,37,60,30,30,40,31,,34,19,42,22,4.01908016204834,19.4108009338379,16,22.6000003814697,35.2200012207031,29,40,34.051700592041,19.054500579834,28.6499996185303,26,9.88000011444092,,16.8400001525879,23.5799999237061,21.75,35.7400016784668,17.4899997711182,16.1599998474121,37.1100006103516
2017-09-19 00:00:00,39,39,57,30,26,36,26,,31,18,37,20,10.6100997924805,16.2982997894287,11,30.5300006866455,31.1900005340576,24.9407997131348,26.1599998474121,29.6082992553711,13.3599996566772,15.6499996185303,17.4200000762939,10.1499996185303,,14.8599996566772,24.0300006866455,14.960000038147,75.8899993896484,11.4399995803833,37.9799995422363,18.4899997711182
2017-09-19 01:00:00,29,21,63,21,16,29,21,,24,14,25,18,12.0396995544434,12.0775003433228,6,30.5300006866455,24.3899993896484,26.1522998809814,23,26.2966995239258,14.4224996566772,10.4899997711182,13.2299995422363,5.96999979019165,,10.7799997329712,16.7700004577637,,38.1800003051758,14.7399997711182,10.5299997329712,12.6599998474121
2017-09-19 02:00:00,14,16,66,14,10,21,14,,41,12,21,19,9.09700012207031,6.94907999038696,4,30.0900001525879,15.1199998855591,13.7351999282837,20,23.3374996185303,15.3325004577637,8.52999973297119,13.2299995422363,4.74499988555908,,8.10000991821289,14.039999961853,,28.5200004577637,14.7399997711182,30.1900005340576,12.6599998474121
