Region,Codigo region,Poblacion,fecha,numero
Arica y Parinacota,15,252110,2020-05-01,9
Tarapacá,1,382773,2020-05-01,2
Antofagasta,2,691854,2020-05-01,23
Atacama,3,314709,2020-05-01,1
Coquimbo,4,836096,2020-05-01,0
Valparaíso,5,1960170,2020-05-01,19
Metropolitana,13,8125072,2020-05-01,262
O’Higgins,6,991063,2020-05-01,6
Maule,7,1131939,2020-05-01,5
Ñuble,16,511551,2020-05-01,8
Biobío,8,1663696,2020-05-01,23
Araucanía,9,1014343,2020-05-01,29
Los Ríos,14,405835,2020-05-01,5
Los Lagos,10,891440,2020-05-01,18
Aysén,11,107297,2020-05-01,0
Magallanes,12,178362,2020-05-01,18
Arica y Parinacota,15,252110,2020-05-02,7
Tarapacá,1,382773,2020-05-02,2
Antofagasta,2,691854,2020-05-02,22
Atacama,3,314709,2020-05-02,1
Coquimbo,4,836096,2020-05-02,0
Valparaíso,5,1960170,2020-05-02,18
Metropolitana,13,8125072,2020-05-02,269
O’Higgins,6,991063,2020-05-02,5
Maule,7,1131939,2020-05-02,5
Ñuble,16,511551,2020-05-02,8
Biobío,8,1663696,2020-05-02,21
Araucanía,9,1014343,2020-05-02,28
Los Ríos,14,405835,2020-05-02,4
Los Lagos,10,891440,2020-05-02,17
Aysén,11,107297,2020-05-02,0
Magallanes,12,178362,2020-05-02,18
Arica y Parinacota,15,252110,2020-05-03,7
Tarapacá,1,382773,2020-05-03,4
Antofagasta,2,691854,2020-05-03,24
Atacama,3,314709,2020-05-03,1
Coquimbo,4,836096,2020-05-03,0
Valparaíso,5,1960170,2020-05-03,17
Metropolitana,13,8125072,2020-05-03,289
O’Higgins,6,991063,2020-05-03,5
Maule,7,1131939,2020-05-03,8
Ñuble,16,511551,2020-05-03,9
Biobío,8,1663696,2020-05-03,20
Araucanía,9,1014343,2020-05-03,27
Los Ríos,14,405835,2020-05-03,3
Los Lagos,10,891440,2020-05-03,17
Aysén,11,107297,2020-05-03,0
Magallanes,12,178362,2020-05-03,18
Arica y Parinacota,15,252110,2020-05-04,7
Tarapacá,1,382773,2020-05-04,4
Antofagasta,2,691854,2020-05-04,25
Atacama,3,314709,2020-05-04,1
Coquimbo,4,836096,2020-05-04,0
Valparaíso,5,1960170,2020-05-04,18
Metropolitana,13,8125072,2020-05-04,303
O’Higgins,6,991063,2020-05-04,5
Maule,7,1131939,2020-05-04,8
Ñuble,16,511551,2020-05-04,9
Biobío,8,1663696,2020-05-04,18
Araucanía,9,1014343,2020-05-04,26
Los Ríos,14,405835,2020-05-04,3
Los Lagos,10,891440,2020-05-04,18
Aysén,11,107297,2020-05-04,0
Magallanes,12,178362,2020-05-04,19
Arica y Parinacota,15,252110,2020-05-05,6
Tarapacá,1,382773,2020-05-05,5
Antofagasta,2,691854,2020-05-05,24
Atacama,3,314709,2020-05-05,1
Coquimbo,4,836096,2020-05-05,0
Valparaíso,5,1960170,2020-05-05,17
Metropolitana,13,8125072,2020-05-05,314
O’Higgins,6,991063,2020-05-05,7
Maule,7,1131939,2020-05-05,7
Ñuble,16,511551,2020-05-05,7
Biobío,8,1663696,2020-05-05,18
Araucanía,9,1014343,2020-05-05,25
Los Ríos,14,405835,2020-05-05,4
Los Lagos,10,891440,2020-05-05,16
Aysén,11,107297,2020-05-05,0
Magallanes,12,178362,2020-05-05,19
Arica y Parinacota,15,252110,2020-05-06,7
Tarapacá,1,382773,2020-05-06,5
Antofagasta,2,691854,2020-05-06,28
Atacama,3,314709,2020-05-06,1
Coquimbo,4,836096,2020-05-06,0
Valparaíso,5,1960170,2020-05-06,16
Metropolitana,13,8125072,2020-05-06,340
O’Higgins,6,991063,2020-05-06,5
Maule,7,1131939,2020-05-06,4
Ñuble,16,511551,2020-05-06,7
Biobío,8,1663696,2020-05-06,15
Araucanía,9,1014343,2020-05-06,24
Los Ríos,14,405835,2020-05-06,4
Los Lagos,10,891440,2020-05-06,11
Aysén,11,107297,2020-05-06,0
Magallanes,12,178362,2020-05-06,19
Arica y Parinacota,15,252110,2020-05-07,8
Tarapacá,1,382773,2020-05-07,5
Antofagasta,2,691854,2020-05-07,28
Atacama,3,314709,2020-05-07,1
Coquimbo,4,836096,2020-05-07,0
Valparaíso,5,1960170,2020-05-07,15
Metropolitana,13,8125072,2020-05-07,348
O’Higgins,6,991063,2020-05-07,6
Maule,7,1131939,2020-05-07,4
Ñuble,16,511551,2020-05-07,7
Biobío,8,1663696,2020-05-07,14
Araucanía,9,1014343,2020-05-07,24
Los Ríos,14,405835,2020-05-07,4
Los Lagos,10,891440,2020-05-07,10
Aysén,11,107297,2020-05-07,0
Magallanes,12,178362,2020-05-07,19
Arica y Parinacota,15,252110,2020-05-08,7
Tarapacá,1,382773,2020-05-08,4
Antofagasta,2,691854,2020-05-08,29
Atacama,3,314709,2020-05-08,1
Coquimbo,4,836096,2020-05-08,0
Valparaíso,5,1960170,2020-05-08,18
Metropolitana,13,8125072,2020-05-08,366
O’Higgins,6,991063,2020-05-08,6
Maule,7,1131939,2020-05-08,4
Ñuble,16,511551,2020-05-08,7
Biobío,8,1663696,2020-05-08,16
Araucanía,9,1014343,2020-05-08,21
Los Ríos,14,405835,2020-05-08,4
Los Lagos,10,891440,2020-05-08,10
Aysén,11,107297,2020-05-08,0
Magallanes,12,178362,2020-05-08,15
Arica y Parinacota,15,252110,2020-05-09,7
Tarapacá,1,382773,2020-05-09,6
Antofagasta,2,691854,2020-05-09,30
Atacama,3,314709,2020-05-09,2
Coquimbo,4,836096,2020-05-09,0
Valparaíso,5,1960170,2020-05-09,19
Metropolitana,13,8125072,2020-05-09,394
O’Higgins,6,991063,2020-05-09,5
Maule,7,1131939,2020-05-09,4
Ñuble,16,511551,2020-05-09,8
Biobío,8,1663696,2020-05-09,18
Araucanía,9,1014343,2020-05-09,22
Los Ríos,14,405835,2020-05-09,3
Los Lagos,10,891440,2020-05-09,11
Aysén,11,107297,2020-05-09,0
Magallanes,12,178362,2020-05-09,15
Arica y Parinacota,15,252110,2020-05-10,7
Tarapacá,1,382773,2020-05-10,6
Antofagasta,2,691854,2020-05-10,31
Atacama,3,314709,2020-05-10,2
Coquimbo,4,836096,2020-05-10,0
Valparaíso,5,1960170,2020-05-10,18
Metropolitana,13,8125072,2020-05-10,415
O’Higgins,6,991063,2020-05-10,5
Maule,7,1131939,2020-05-10,4
Ñuble,16,511551,2020-05-10,8
Biobío,8,1663696,2020-05-10,19
Araucanía,9,1014343,2020-05-10,23
Los Ríos,14,405835,2020-05-10,2
Los Lagos,10,891440,2020-05-10,10
Aysén,11,107297,2020-05-10,0
Magallanes,12,178362,2020-05-10,15
Arica y Parinacota,15,252110,2020-05-11,7
Tarapacá,1,382773,2020-05-11,7
Antofagasta,2,691854,2020-05-11,32
Atacama,3,314709,2020-05-11,2
Coquimbo,4,836096,2020-05-11,0
Valparaíso,5,1960170,2020-05-11,19
Metropolitana,13,8125072,2020-05-11,421
O’Higgins,6,991063,2020-05-11,5
Maule,7,1131939,2020-05-11,5
Ñuble,16,511551,2020-05-11,8
Biobío,8,1663696,2020-05-11,18
Araucanía,9,1014343,2020-05-11,22
Los Ríos,14,405835,2020-05-11,2
Los Lagos,10,891440,2020-05-11,10
Aysén,11,107297,2020-05-11,0
Magallanes,12,178362,2020-05-11,16
Arica y Parinacota,15,252110,2020-05-12,7
Tarapacá,1,382773,2020-05-12,9
Antofagasta,2,691854,2020-05-12,32
Atacama,3,314709,2020-05-12,2
Coquimbo,4,836096,2020-05-12,0
Valparaíso,5,1960170,2020-05-12,21
Metropolitana,13,8125072,2020-05-12,450
O’Higgins,6,991063,2020-05-12,6
Maule,7,1131939,2020-05-12,6
Ñuble,16,511551,2020-05-12,7
Biobío,8,1663696,2020-05-12,17
Araucanía,9,1014343,2020-05-12,20
Los Ríos,14,405835,2020-05-12,1
