Region,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,Fallecidos,%Total,Fecha,Fallecidostotales,Nuevos Casos,Casos Confirmados,Casosnuevossinsintomas,Tasa*100000,Incrementodiario,Region ID,Poblacion,Tasa
Aysén,,,,,0,,2020/04/07,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,2,,2020/04/07,,19.0,240.0,,,,12,178362,134.557809398863
Arica y Parinacota,272.0,4.0,4.0,,4,183%,2020/04/29,,,,0.0,107.89,1.47%,15,252110,
Tarapacá,183.0,14.0,14.0,,1,123%,2020/04/29,,,,0.0,47.81,7.65%,1,382773,
Antofagasta,514.0,33.0,33.0,,4,345%,2020/04/29,,,,0.0,74.29,6.42%,2,691854,
Atacama,42.0,7.0,7.0,,0,0.28%,2020/04/29,,,,0.0,13.35,16.67%,3,314709,
Coquimbo,76.0,2.0,2.0,,0,0.51%,2020/04/29,,,,0.0,9.09,2.63%,4,836096,
Valparaíso,526.0,33.0,33.0,,12,353%,2020/04/29,,,,0.0,26.83,6.27%,5,1960170,
Metropolitana,8889.0,589.0,339.0,,104,58.04%,2020/04/29,,,,250.0,106.33,3.92%,13,8125072,
O’Higgins,104.0,7.0,7.0,,1,0.70%,2020/04/29,,,,0.0,10.49,6.73%,6,991063,
Maule,392.0,8.0,8.0,,13,263%,2020/04/29,,,,0.0,34.63,2.04%,7,1131939,
Ñuble,761.0,14.0,14.0,,14,5.11%,2020/04/29,,,,0.0,148.76,1.84%,16,511551,
Biobío,719.0,10.0,10.0,,7,4.83%,2020/04/29,,,,0.0,43.22,1.39%,8,1663696,
Araucanía,1273.0,22.0,22.0,,32,8.55%,2020/04/29,,,,0.0,125.5,1.73%,9,1014343,
Los Ríos,182.0,2.0,2.0,,4,1.22%,2020/04/29,,,,0.0,44.85,1.10%,14,405835,
Los Lagos,481.0,4.0,4.0,,9,3.23%,2020/04/29,,,,0.0,53.96,0.83%,10,891440,
Aysén,7.0,0.0,0.0,,0,0.05%,2020/04/29,,,,0.0,6.52,0.00%,11,107297,
Magallanes,714.0,21.0,21.0,,11,4.80%,2020/04/29,,,,0.0,400.31,2.94%,12,178362,
Arica y Parinacota,,,,,0,,2020/03/16,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/16,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/16,,0.0,2.0,,,,2,691854,0.2890783315555016
Atacama,,,,,0,,2020/03/16,,0.0,1.0,,,,3,314709,0.3177538615038019
Coquimbo,,,,,0,,2020/03/16,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/16,,1.0,1.0,,,,5,1960170,0.05101598330757026
Metropolitana,,,,,0,,2020/03/16,,69.0,123.0,,,,13,8125072,1.5138327389591133
O’Higgins,,,,,0,,2020/03/16,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/16,,0.0,9.0,,,,7,1131939,0.7950958488045735
Ñuble,,,,,0,,2020/03/16,,8.0,12.0,,,,16,511551,2.345807162922172
Biobío,,,,,0,,2020/03/16,,1.0,4.0,,,,8,1663696,0.24042853982939189
Araucanía,,,,,0,,2020/03/16,,1.0,1.0,,,,9,1014343,0.09858598127063527
Los Ríos,,,,,0,,2020/03/16,,1.0,1.0,,,,14,405835,0.24640555890940902
Los Lagos,,,,,0,,2020/03/16,,0.0,1.0,,,,10,891440,0.1121780489993718
Aysén,,,,,0,,2020/03/16,,0.0,1.0,,,,11,107297,0.9319925067802455
Magallanes,,,,,0,,2020/03/16,,0.0,0.0,,,,12,178362,0.0
Arica y Parinacota,279.0,7.0,2.0,5.0,4,1.74%,2020/04/30,,,,,,,15,252110,
Tarapacá,198.0,15.0,15.0,0.0,1,1.24%,2020/04/30,,,,,,,1,382773,
Antofagasta,546.0,32.0,27.0,5.0,5,3.41%,2020/04/30,,,,,,,2,691854,
Atacama,43.0,1.0,1.0,0.0,0,0.27%,2020/04/30,,,,,,,3,314709,
Coquimbo,76.0,0.0,0.0,0.0,0,0.47%,2020/04/30,,,,,,,4,836096,
Valparaíso,559.0,33.0,28.0,5.0,12,3.49%,2020/04/30,,,,,,,5,1960170,
Metropolitana,9625.0,736.0,650.0,86.0,110,60.07%,2020/04/30,,,,,,,13,8125072,
O’Higgins,108.0,4.0,3.0,1.0,1,0.67%,2020/04/30,,,,,,,6,991063,
Maule,393.0,1.0,0.0,1.0,13,2.45%,2020/04/30,,,,,,,7,1131939,
Ñuble,768.0,7.0,7.0,0.0,14,4.79%,2020/04/30,,,,,,,16,511551,
Biobío,727.0,8.0,6.0,2.0,7,4.54%,2020/04/30,,,,,,,8,1663696,
Araucanía,1293.0,20.0,18.0,2.0,35,8.07%,2020/04/30,,,,,,,9,1014343,
Los Ríos,189.0,7.0,7.0,0.0,4,1.18%,2020/04/30,,,,,,,14,405835,
Los Lagos,487.0,6.0,5.0,1.0,10,3.04%,2020/04/30,,,,,,,10,891440,
Aysén,7.0,0.0,0.0,0.0,0,0.04%,2020/04/30,,,,,,,11,107297,
Magallanes,725.0,11.0,11.0,0.0,11,4.52%,2020/04/30,,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/03/26,,1.0,3.0,,,,15,252110,1.1899567649042084
Tarapacá,,,,,0,,2020/03/26,,1.0,5.0,,,,1,382773,1.30625723339943
Antofagasta,,,,,0,,2020/03/26,,1.0,20.0,,,,2,691854,2.8907833155550158
Atacama,,,,,0,,2020/03/26,,0.0,1.0,,,,3,314709,0.3177538615038019
Coquimbo,,,,,0,,2020/03/26,,1.0,13.0,,,,4,836096,1.554845376607471
Valparaíso,,,,,0,,2020/03/26,,12.0,44.0,,,,5,1960170,2.2447032655330914
Metropolitana,,,,,3,,2020/03/26,,64.0,746.0,,,,13,8125072,9.18145709970324
O’Higgins,,,,,0,,2020/03/26,,3.0,14.0,,,,6,991063,1.41262462628511
Maule,,,,,0,,2020/03/26,,1.0,31.0,,,,7,1131939,2.7386634792157527
Ñuble,,,,,0,,2020/03/26,,3.0,114.0,,,,16,511551,22.285168047760635
Biobío,,,,,1,,2020/03/26,,14.0,109.0,,,,8,1663696,6.55167771035093
Araucanía,,,,,0,,2020/03/26,,37.0,111.0,,,,9,1014343,10.943043921040516
Los Ríos,,,,,0,,2020/03/26,,3.0,14.0,,,,14,405835,3.449677824731726
Los Lagos,,,,,0,,2020/03/26,,16.0,60.0,,,,10,891440,6.730682939962309
Aysén,,,,,0,,2020/03/26,,1.0,2.0,,,,11,107297,1.863985013560491
Magallanes,,,,,0,,2020/03/26,,6.0,19.0,,,,12,178362,10.652493244076652
Arica y Parinacota,,,,,1,,2020/04/13,,0.0,115.0,,,,15,252110,45.615009321327996
Tarapacá,,,,,0,,2020/04/13,,6.0,52.0,,,,1,382773,13.585075227354071
Antofagasta,,,,,1,,2020/04/13,,11.0,149.0,,,,2,691854,21.53633570088487
Atacama,,,,,0,,2020/04/13,,0.0,13.0,,,,3,314709,4.130800199549425
Coquimbo,,,,,0,,2020/04/13,,0.0,66.0,,,,4,836096,7.8938303735456214
Valparaíso,,,,,2,,2020/04/13,,19.0,273.0,,,,5,1960170,13.927363442966682
Metropolitana,,,,,36,,2020/04/13,,204.0,3803.0,,,,13,8125072,46.805739075296806
O’Higgins,,,,,0,,2020/04/13,,2.0,48.0,,,,6,991063,4.84328443297752
Maule,,,,,3,,2020/04/13,,3.0,141.0,,,,7,1131939,12.45650163127165
Ñuble,,,,,7,,2020/04/13,,5.0,618.0,,,,16,511551,120.80906889049186
Biobío,,,,,2,,2020/04/13,,12.0,512.0,,,,8,1663696,30.77485309816216
Araucanía,,,,,17,,2020/04/13,,20.0,795.0,,,,9,1014343,78.37585511015504
Los Ríos,,,,,3,,2020/04/13,,3.0,138.0,,,,14,405835,34.00396712949844
Los Lagos,,,,,5,,2020/04/13,,8.0,380.0,,,,10,891440,42.627658619761284
Aysén,,,,,0,,2020/04/13,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,5,,2020/04/13,,19.0,415.0,,,,12,178362,232.67287875220057
Arica y Parinacota,,,,,2,,2020/04/19,,3.0,145.0,,,,15,252110,57.51457697037007
Tarapacá,,,,,0,,2020/04/19,,9.0,90.0,,,,1,382773,23.51263020118974
Antofagasta,,,,,1,,2020/04/19,,23.0,249.0,,,,2,691854,35.99025227865995
Atacama,,,,,0,,2020/04/19,,0.0,13.0,,,,3,314709,4.130800199549425
Coquimbo,,,,,0,,2020/04/19,,0.0,68.0,,,,4,836096,8.133037354562155
Valparaíso,,,,,5,,2020/04/19,,22.0,381.0,,,,5,1960170,19.43708964018427
Metropolitana,,,,,63,,2020/04/19,,189.0,5381.0,,,,13,8125072,66.22710543365031
O’Higgins,,,,,0,,2020/04/19,,0.0,55.0,,,,6,991063,5.549596746120075
Maule,,,,,8,,2020/04/19,,26.0,302.0,,,,7,1131939,26.67988292655346
Ñuble,,,,,13,,2020/04/19,,11.0,678.0,,,,16,511551,132.5381047051027
Biobío,,,,,3,,2020/04/19,,10.0,616.0,,,,8,1663696,37.025995133726354
Araucanía,,,,,23,,2020/04/19,,28.0,972.0,,,,9,1014343,95.82557379505748
Los Ríos,,,,,3,,2020/04/19,,1.0,157.0,,,,14,405835,38.68567274877721
Los Lagos,,,,,6,,2020/04/19,,5.0,421.0,,,,10,891440,47.22695862873553
Aysén,,,,,0,,2020/04/19,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,6,,2020/04/19,,31.0,553.0,,,,12,178362,310.0436191565468
Arica y Parinacota,,,,,0,,2020/03/15,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/15,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/15,,0.0,2.0,,,,2,691854,0.2890783315555016
Atacama,,,,,0,,2020/03/15,,0.0,1.0,,,,3,314709,0.3177538615038019
Coquimbo,,,,,0,,2020/03/15,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/15,,0.0,0.0,,,,5,1960170,0.0
Metropolitana,,,,,0,,2020/03/15,,14.0,54.0,,,,13,8125072,0.6646094951527814
O’Higgins,,,,,0,,2020/03/15,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/15,,0.0,9.0,,,,7,1131939,0.7950958488045735
Ñuble,,,,,0,,2020/03/15,,0.0,4.0,,,,16,511551,0.7819357209740573
Biobío,,,,,0,,2020/03/15,,0.0,3.0,,,,8,1663696,0.18032140487204393
Araucanía,,,,,0,,2020/03/15,,0.0,0.0,,,,9,1014343,0.0
Los Ríos,,,,,0,,2020/03/15,,0.0,0.0,,,,14,405835,0.0
Los Lagos,,,,,0,,2020/03/15,,0.0,1.0,,,,10,891440,0.1121780489993718
Aysén,,,,,0,,2020/03/15,,0.0,1.0,,,,11,107297,0.9319925067802455
Magallanes,,,,,0,,2020/03/15,,0.0,0.0,,,,12,178362,0.0
Arica y Parinacota,,,,,0,,2020/03/25,,0.0,2.0,,,,15,252110,0.793304509936139
Tarapacá,,,,,0,,2020/03/25,,0.0,4.0,,,,1,382773,1.045005786719544
Antofagasta,,,,,0,,2020/03/25,,6.0,19.0,,,,2,691854,2.746244149777265
Atacama,,,,,0,,2020/03/25,,0.0,1.0,,,,3,314709,0.3177538615038019
Coquimbo,,,,,0,,2020/03/25,,1.0,12.0,,,,4,836096,1.435241886099204
Valparaíso,,,,,0,,2020/03/25,,7.0,32.0,,,,5,1960170,1.6325114658422484
Metropolitana,,,,,2,,2020/03/25,,142.0,682.0,,,,13,8125072,8.393771772114757
O’Higgins,,,,,0,,2020/03/25,,2.0,11.0,,,,6,991063,1.1099193492240151
Maule,,,,,0,,2020/03/25,,1.0,30.0,,,,7,1131939,2.6503194960152445
Ñuble,,,,,0,,2020/03/25,,6.0,111.0,,,,16,511551,21.698716257030092
Biobío,,,,,1,,2020/03/25,,22.0,95.0,,,,8,1663696,5.710177820948058
Araucanía,,,,,0,,2020/03/25,,15.0,74.0,,,,9,1014343,7.2953626140270105
Los Ríos,,,,,0,,2020/03/25,,5.0,11.0,,,,14,405835,2.710461148003499
Los Lagos,,,,,0,,2020/03/25,,8.0,44.0,,,,10,891440,4.935834155972359
Aysén,,,,,0,,2020/03/25,,0.0,1.0,,,,11,107297,0.9319925067802455
Magallanes,,,,,0,,2020/03/25,,5.0,13.0,,,,12,178362,7.288548009105078
Arica y Parinacota,,,,,0,,2020/03/28,,0.0,3.0,,,,15,252110,1.1899567649042084
Tarapacá,,,,,0,,2020/03/28,,0.0,5.0,,,,1,382773,1.30625723339943
Antofagasta,,,,,0,,2020/03/28,,4.0,25.0,,,,2,691854,3.61347914444377
Atacama,,,,,0,,2020/03/28,,0.0,1.0,,,,3,314709,0.3177538615038019
Coquimbo,,,,,0,,2020/03/28,,1.0,15.0,,,,4,836096,1.794052357624005
Valparaíso,,,,,0,,2020/03/28,,22.0,71.0,,,,5,1960170,3.6221348148374886
Metropolitana,,,,,3,,2020/03/28,,146.0,1084.0,,,,13,8125072,13.341420236029908
O’Higgins,,,,,0,,2020/03/28,,4.0,20.0,,,,6,991063,2.0180351804073
Maule,,,,,0,,2020/03/28,,5.0,37.0,,,,7,1131939,3.268727378418802
Ñuble,,,,,0,,2020/03/28,,28.0,172.0,,,,16,511551,33.623236001884464
Biobío,,,,,2,,2020/03/28,,16.0,151.0,,,,8,1663696,9.076177378559544
Araucanía,,,,,1,,2020/03/28,,34.0,177.0,,,,9,1014343,17.449718684902443
Los Ríos,,,,,0,,2020/03/28,,5.0,27.0,,,,14,405835,6.652950090554043
Los Lagos,,,,,0,,2020/03/28,,30.0,93.0,,,,10,891440,10.432558556941578
Aysén,,,,,0,,2020/03/28,,0.0,2.0,,,,11,107297,1.863985013560491
Magallanes,,,,,0,,2020/03/28,,4.0,26.0,,,,12,178362,14.577096018210156
Arica y Parinacota,782.0,46.0,40.0,6.0,0,0.64%,2020/06/05,9.0,,,,,,15,252110,
Tarapacá,2965.0,155.0,139.0,16.0,0,2.42%,2020/06/05,28.0,,,,,,1,382773,
Antofagasta,2924.0,62.0,53.0,9.0,0,2.39%,2020/06/05,42.0,,,,,,2,691854,
Atacama,269.0,11.0,8.0,3.0,0,0.22%,2020/06/05,0.0,,,,,,3,314709,
Coquimbo,832.0,60.0,37.0,23.0,0,0.68%,2020/06/05,5.0,,,,,,4,836096,
Valparaíso,4266.0,249.0,233.0,16.0,0,3.48%,2020/06/05,88.0,,,,,,5,1960170,
Metropolitana,99066.0,3176.0,2888.0,288.0,0,80.87%,2020/06/05,1105.0,,,,,,13,8125072,
O’Higgins,1016.0,49.0,45.0,4.0,0,0.83%,2020/06/05,22.0,,,,,,6,991063,
Maule,1834.0,102.0,96.0,6.0,0,1.50%,2020/06/05,24.0,,,,,,7,1131939,
Ñuble,1429.0,57.0,52.0,5.0,0,1.17%,2020/06/05,24.0,,,,,,16,511551,
Biobío,2379.0,78.0,67.0,11.0,0,1.94%,2020/06/05,13.0,,,,,,8,1663696,
Araucanía,2288.0,106.0,89.0,17.0,0,1.87%,2020/06/05,48.0,,,,,,9,1014343,
Los Ríos,390.0,11.0,7.0,4.0,0,0.32%,2020/06/05,8.0,,,,,,14,405835,
Los Lagos,968.0,42.0,35.0,7.0,0,0.79%,2020/06/05,13.0,,,,,,10,891440,
Aysén,19.0,0.0,0.0,0.0,0,0.02%,2020/06/05,0.0,,,,,,11,107297,
Magallanes,1072.0,3.0,1.0,2.0,0,0.88%,2020/06/05,19.0,,,,,,12,178362,
Arica y Parinacota,,,,,3,,2020/04/27,,13.0,265.0,,,,15,252110,105.11284756653842
Tarapacá,,,,,1,,2020/04/27,,8.0,164.0,,,,1,382773,42.8452372555013
Antofagasta,,,,,4,,2020/04/27,,14.0,457.0,,,,2,691854,66.05439876043211
Atacama,,,,,0,,2020/04/27,,6.0,35.0,,,,3,314709,11.121385152633067
Coquimbo,,,,,0,,2020/04/27,,1.0,74.0,,,,4,836096,8.850658297611757
Valparaíso,,,,,9,,2020/04/27,,25.0,485.0,,,,5,1960170,24.74275190417158
Metropolitana,,,,,95,,2020/04/27,,362.0,7858.0,,,,13,8125072,96.71298912797327
O’Higgins,,,,,1,,2020/04/27,,2.0,94.0,,,,6,991063,9.48476534791431
Maule,,,,,12,,2020/04/27,,9.0,363.0,,,,7,1131939,32.06886590178446
Ñuble,,,,,14,,2020/04/27,,10.0,741.0,,,,16,511551,144.8535923104441
Biobío,,,,,6,,2020/04/27,,3.0,706.0,,,,8,1663696,42.43563727988767
Araucanía,,,,,32,,2020/04/27,,20.0,1236.0,,,,9,1014343,121.8522728505052
Los Ríos,,,,,3,,2020/04/27,,2.0,180.0,,,,14,405835,44.353000603693616
Los Lagos,,,,,8,,2020/04/27,,4.0,477.0,,,,10,891440,53.50892937270035
Aysén,,,,,0,,2020/04/27,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,10,,2020/04/27,,3.0,671.0,,,,12,178362,376.2012087776544
Arica y Parinacota,325.0,7.0,6.0,1.0,6,1.32%,2020/05/07,,,,,,,15,252110,
Tarapacá,417.0,78.0,38.0,40.0,1,1.70%,2020/05/07,,,,,,,1,382773,
Antofagasta,895.0,40.0,31.0,9.0,7,3.64%,2020/05/07,,,,,,,2,691854,
Atacama,87.0,7.0,1.0,6.0,0,0.35%,2020/05/07,,,,,,,3,314709,
Coquimbo,100.0,3.0,1.0,2.0,0,0.41%,2020/05/07,,,,,,,4,836096,
Valparaíso,781.0,65.0,61.0,4.0,17,3.18%,2020/05/07,,,,,,,5,1960170,
Metropolitana,16828.0,1246.0,1149.0,97.0,152,68.46%,2020/05/07,,,,,,,13,8125072,
O’Higgins,151.0,6.0,6.0,0.0,3,0.61%,2020/05/07,,,,,,,6,991063,
Maule,414.0,6.0,6.0,0.0,13,1.68%,2020/05/07,,,,,,,7,1131939,
Ñuble,793.0,2.0,1.0,1.0,17,3.23%,2020/05/07,,,,,,,16,511551,
Biobío,814.0,25.0,18.0,7.0,8,3.31%,2020/05/07,,,,,,,8,1663696,
Araucanía,1385.0,23.0,7.0,16.0,36,5.63%,2020/05/07,,,,,,,9,1014343,
Los Ríos,202.0,2.0,2.0,0.0,4,0.82%,2020/05/07,,,,,,,14,405835,
Los Lagos,545.0,4.0,0.0,4.0,10,2.22%,2020/05/07,,,,,,,10,891440,
Aysén,8.0,1.0,1.0,0.0,0,0.03%,2020/05/07,,,,,,,11,107297,
Magallanes,836.0,18.0,15.0,3.0,11,3.40%,2020/05/07,,,,,,,12,178362,
Arica y Parinacota,701.0,47.0,43.0,4.0,0,0.62%,2020/06/03,8.0,,,,,,15,252110,
Tarapacá,2682.0,88.0,76.0,12.0,0,2.36%,2020/06/03,28.0,,,,,,1,382773,
Antofagasta,2716.0,67.0,61.0,6.0,0,2.39%,2020/06/03,36.0,,,,,,2,691854,
Atacama,242.0,6.0,6.0,0.0,0,0.21%,2020/06/03,0.0,,,,,,3,314709,
Coquimbo,718.0,31.0,29.0,2.0,0,0.63%,2020/06/03,4.0,,,,,,4,836096,
Valparaíso,3769.0,174.0,151.0,23.0,0,3.32%,2020/06/03,77.0,,,,,,5,1960170,
Metropolitana,92191.0,3997.0,3707.0,290.0,0,81.13%,2020/06/03,961.0,,,,,,13,8125072,
O’Higgins,931.0,88.0,85.0,3.0,0,0.82%,2020/06/03,20.0,,,,,,6,991063,
Maule,1595.0,214.0,181.0,33.0,0,1.40%,2020/06/03,19.0,,,,,,7,1131939,
Ñuble,1329.0,39.0,30.0,9.0,0,1.17%,2020/06/03,24.0,,,,,,16,511551,
Biobío,2215.0,133.0,118.0,15.0,0,1.95%,2020/06/03,11.0,,,,,,8,1663696,
Araucanía,2173.0,32.0,29.0,3.0,0,1.91%,2020/06/03,47.0,,,,,,9,1014343,
Los Ríos,372.0,4.0,4.0,0.0,0,0.33%,2020/06/03,8.0,,,,,,14,405835,
Los Lagos,913.0,19.0,14.0,5.0,0,0.80%,2020/06/03,13.0,,,,,,10,891440,
Aysén,18.0,0.0,0.0,0.0,0,0.02%,2020/06/03,0.0,,,,,,11,107297,
Magallanes,1063.0,3.0,3.0,0.0,0,0.94%,2020/06/03,19.0,,,,,,12,178362,
Arica y Parinacota,513.0,15.0,15.0,0.0,7,0.69%,2020/05/25,,,,,,,15,252110,
Tarapacá,1630.0,66.0,53.0,13.0,7,2.20%,2020/05/25,,,,,,,1,382773,
Antofagasta,2015.0,68.0,61.0,7.0,21,2.72%,2020/05/25,,,,,,,2,691854,
Atacama,185.0,3.0,3.0,0.0,0,0.25%,2020/05/25,,,,,,,3,314709,
Coquimbo,338.0,15.0,14.0,1.0,2,0.46%,2020/05/25,,,,,,,4,836096,
Valparaíso,2305.0,75.0,65.0,10.0,53,3.11%,2020/05/25,,,,,,,5,1960170,
Metropolitana,58930.0,4386.0,4000.0,386.0,529,79.64%,2020/05/25,,,,,,,13,8125072,
O’Higgins,588.0,34.0,29.0,5.0,13,0.79%,2020/05/25,,,,,,,6,991063,
Maule,953.0,61.0,54.0,7.0,15,1.29%,2020/05/25,,,,,,,7,1131939,
Ñuble,1139.0,37.0,37.0,0.0,22,1.54%,2020/05/25,,,,,,,16,511551,
Biobío,1458.0,44.0,34.0,10.0,10,1.97%,2020/05/25,,,,,,,8,1663696,
Araucanía,1857.0,49.0,30.0,19.0,45,2.51%,2020/05/25,,,,,,,9,1014343,
Los Ríos,297.0,7.0,6.0,1.0,6,0.40%,2020/05/25,,,,,,,14,405835,
Los Lagos,763.0,27.0,20.0,7.0,13,1.03%,2020/05/25,,,,,,,10,891440,
Aysén,10.0,2.0,2.0,0.0,0,0.01%,2020/05/25,,,,,,,11,107297,
Magallanes,1016.0,6.0,5.0,1.0,18,1.37%,2020/05/25,,,,,,,12,178362,
Arica y Parinacota,377.0,9.0,7.0,2.0,7,0.91%,2020/05/16,,,,,,,15,252110,
Tarapacá,845.0,66.0,51.0,15.0,2,2.04%,2020/05/16,,,,,,,1,382773,
Antofagasta,1429.0,98.0,71.0,27.0,12,3.45%,2020/05/16,,,,,,,2,691854,
Atacama,146.0,3.0,3.0,0.0,0,0.35%,2020/05/16,,,,,,,3,314709,
Coquimbo,187.0,7.0,0.0,7.0,2,0.45%,2020/05/16,,,,,,,4,836096,
Valparaíso,1365.0,53.0,33.0,20.0,28,3.29%,2020/05/16,,,,,,,5,1960170,
Metropolitana,30794.0,1518.0,1319.0,199.0,246,74.33%,2020/05/16,,,,,,,13,8125072,
O’Higgins,329.0,6.0,6.0,0.0,5,0.79%,2020/05/16,,,,,,,6,991063,
Maule,551.0,11.0,9.0,2.0,14,1.33%,2020/05/16,,,,,,,7,1131939,
Ñuble,921.0,36.0,14.0,22.0,20,2.22%,2020/05/16,,,,,,,16,511551,
Biobío,1074.0,38.0,29.0,9.0,9,2.59%,2020/05/16,,,,,,,8,1663696,
Araucanía,1587.0,23.0,16.0,7.0,43,3.83%,2020/05/16,,,,,,,9,1014343,
Los Ríos,219.0,0.0,0.0,0.0,6,0.53%,2020/05/16,,,,,,,14,405835,
Los Lagos,644.0,3.0,3.0,0.0,11,1.55%,2020/05/16,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.02%,2020/05/16,,,,,,,11,107297,
Magallanes,952.0,15.0,12.0,3.0,16,2.30%,2020/05/16,,,,,,,12,178362,
Arica y Parinacota,819.0,37.0,33.0,4.0,0,0.64%,2020/06/06,9.0,,,,,,15,252110,
Tarapacá,3094.0,129.0,104.0,25.0,0,2.42%,2020/06/06,30.0,,,,,,1,382773,
Antofagasta,3033.0,109.0,105.0,4.0,0,2.37%,2020/06/06,47.0,,,,,,2,691854,
Atacama,281.0,12.0,11.0,1.0,0,0.22%,2020/06/06,0.0,,,,,,3,314709,
Coquimbo,898.0,66.0,53.0,13.0,0,0.70%,2020/06/06,5.0,,,,,,4,836096,
Valparaíso,4580.0,314.0,295.0,19.0,0,3.59%,2020/06/06,91.0,,,,,,5,1960170,
Metropolitana,103194.0,4128.0,3945.0,183.0,0,80.78%,2020/06/06,1184.0,,,,,,13,8125072,
O’Higgins,1111.0,95.0,85.0,10.0,0,0.87%,2020/06/06,25.0,,,,,,6,991063,
Maule,1969.0,135.0,87.0,48.0,0,1.54%,2020/06/06,24.0,,,,,,7,1131939,
Ñuble,1470.0,41.0,34.0,7.0,0,1.15%,2020/06/06,24.0,,,,,,16,511551,
Biobío,2490.0,111.0,83.0,28.0,0,1.95%,2020/06/06,13.0,,,,,,8,1663696,
Araucanía,2321.0,33.0,26.0,7.0,0,1.82%,2020/06/06,49.0,,,,,,9,1014343,
Los Ríos,400.0,10.0,3.0,7.0,0,0.31%,2020/06/06,8.0,,,,,,14,405835,
Los Lagos,985.0,17.0,15.0,2.0,0,0.77%,2020/06/06,13.0,,,,,,10,891440,
Aysén,19.0,0.0,0.0,0.0,0,0.01%,2020/06/06,0.0,,,,,,11,107297,
Magallanes,1081.0,9.0,9.0,0.0,0,0.85%,2020/06/06,19.0,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/03/31,,0.0,6.0,,,,15,252110,2.379913529808417
Tarapacá,,,,,0,,2020/03/31,,2.0,10.0,,,,1,382773,2.61251446679886
Antofagasta,,,,,0,,2020/03/31,,0.0,35.0,,,,2,691854,5.058870802221278
Atacama,,,,,0,,2020/03/31,,0.0,2.0,,,,3,314709,0.6355077230076038
Coquimbo,,,,,0,,2020/03/31,,1.0,28.0,,,,4,836096,3.348897734231476
Valparaíso,,,,,1,,2020/03/31,,7.0,115.0,,,,5,1960170,5.86683808037058
Metropolitana,,,,,4,,2020/03/31,,125.0,1420.0,,,,13,8125072,17.476768205869437
O’Higgins,,,,,0,,2020/03/31,,2.0,23.0,,,,6,991063,2.320740457468395
Maule,,,,,1,,2020/03/31,,8.0,62.0,,,,7,1131939,5.477326958431505
Ñuble,,,,,0,,2020/03/31,,16.0,245.0,,,,16,511551,47.89356290966101
Biobío,,,,,2,,2020/03/31,,15.0,216.0,,,,8,1663696,12.983141150787162
Araucanía,,,,,4,,2020/03/31,,55.0,302.0,,,,9,1014343,29.772966343731852
Los Ríos,,,,,0,,2020/03/31,,11.0,58.0,,,,14,405835,14.291522416745721
Los Lagos,,,,,0,,2020/03/31,,23.0,151.0,,,,10,891440,16.938885398905143
Aysén,,,,,0,,2020/03/31,,0.0,2.0,,,,11,107297,1.863985013560491
Magallanes,,,,,0,,2020/03/31,,24.0,63.0,,,,12,178362,35.32142496720154
Arica y Parinacota,541.0,19.0,17.0,2.0,7,0.66%,2020/05/27,,,,,,,15,252110,
Tarapacá,1811.0,74.0,70.0,4.0,11,2.20%,2020/05/27,,,,,,,1,382773,
Antofagasta,2137.0,74.0,65.0,9.0,25,2.60%,2020/05/27,,,,,,,2,691854,
Atacama,197.0,9.0,8.0,1.0,0,0.24%,2020/05/27,,,,,,,3,314709,
Coquimbo,455.0,71.0,64.0,7.0,2,0.55%,2020/05/27,,,,,,,4,836096,
Valparaíso,2576.0,121.0,111.0,10.0,58,3.13%,2020/05/27,,,,,,,5,1960170,
Metropolitana,66011.0,3726.0,3421.0,305.0,595,80.22%,2020/05/27,,,,,,,13,8125072,
O’Higgins,691.0,37.0,24.0,13.0,14,0.84%,2020/05/27,,,,,,,6,991063,
Maule,1066.0,53.0,52.0,1.0,15,1.30%,2020/05/27,,,,,,,7,1131939,
Ñuble,1174.0,27.0,24.0,3.0,22,1.43%,2020/05/27,,,,,,,16,511551,
Biobío,1565.0,63.0,54.0,9.0,10,1.90%,2020/05/27,,,,,,,8,1663696,
Araucanía,1916.0,33.0,26.0,7.0,45,2.33%,2020/05/27,,,,,,,9,1014343,
Los Ríos,309.0,5.0,5.0,0.0,6,0.38%,2020/05/27,,,,,,,14,405835,
