Date,Indonesia,Angola,Querétaro,Rio de Janeiro,Metropolitana
226,,0.007759974866478,0.052492897514731,0.047626822414314,0.029168972287261
227,,0.00722588752749,0.057889363614376,0.075905248222813,0.047138043822873
228,,0.006063462142633,0.045624667933365,0.101802332910596,0.045661133833645
229,,0.010964498900409,0.044152904451643,0.068017055760442,0.046030361330952
230,,0.00741438894125,0.022076452225822,0.06637988373995,0.047753422985052
231,,0.009079484762802,0.019132925262379,0.0748634114825,0.029907427281875
232,,0.003801445177506,0.064757593195743,0.052836006115879,0.030522806444054
233,,0.003518693056865,0.055927012305415,0.064147376439279,0.043445768849802
234,,0.003078856424757,0.058870539268857,0.080965598104333,0.041968858860574
235,,0.007759974866478,0.062795241886781,0.078881924623707,0.043938072179545
236,,0.004272698711907,0.052002309687491,0.084835277425496,0.042215010525445
237,,0.0043041156142,0.027963506152707,0.083495773045094,0.041107328033524
238,,0.003141690229343,0.022076452225822,0.08587711416581,0.017353692373434
239,,0.005497957901351,0.057889363614376,0.0692077263208,0.030276654779182
240,,0.004586867734841,0.053964660996453,0.106713848972072,0.041107328033524
241,,0.002419101476594,0.056908187959896,0.084984111245541,0.035445839741482
242,,0.005152371976123,0.064757593195743,0.093914140448225,0.049353408806716
243,,0.006377631165567,0.079965815840198,0.095848980108807,0.038153508055067
244,,0.003267357838517,0.040228201833719,0.110583528293235,0.037168901395582
245,,0.006660383286208,0.031397620943391,0.114750875254487,0.025969000643933
246,,0.004178448005027,0.085362281939843,0.097188484489209,0.02203057400599
247,,0.004586867734841,0.07162582277711,0.096146647748896,0.042584238022752
248,,0.002513352183475,0.016189398298936,0.130527260179229,0.045291906336338
249,,0.004429783223374,,0.145410642183702,0.036430446400967
250,,0.003393025447691,,0.134545773320436,0.03950734221186
251,,0.002481935281181,,0.119513557495919,0.02978435144944
252,,0.00311027332705,,0.134099271860302,0.022522877335733
253,,0.002764687401822,,0.116536881095024,0.019199829859969
254,,0.002481935281181,,0.151512828805536,0.036676598065839
255,,0.000502670436695,,0.167140379910232,0.033107398925203
256,,0.001131008482564,,0.146154811283925,0.038399659719939
257,,0.003518693056865,,0.157912683067459,0.043076541352495
258,,0.002136349355954,,0.148536152404641,0.031261261438668
259,,0.001319509896324,,0.191697960217613,0.019076754027534
260,,0.004147031102733,,0.13528994242066,0.025599773146626
261,,0.001350926798618,,0.144219971623344,0.038030432222631
262,,0.001727929626139,,0.194228135158373,0.039015038882117
263,,0.001790763430726,,0.145708309823791,0.041722707195702
264,,0.002544769085768,,0.202116327620744,0.035568915573917
265,,0.002356267672008,,0.172051895971708,0.039261190546988
266,,0.003801445177506,,0.152108164085715,0.025230545649319
267,,0.004272698711907,,0.130824927819318,0.029292048119697
268,,0.003141690229343,,0.200032654140118,0.034461233081996
269,,0.000848256361923,,0.223250730067096,0.040738100536217
270,,0.002796104304116,,0.175475073832737,0.051691849622994
271,,0.002670436694942,,0.171754228331619,0.042338086357881
272,,0.001413760603205,,0.152852333185938,0.037168901395582
273,,0.002419101476594,,0.164163703509338,0.023876711492526
274,,0.002450518378888,,0.143624636343165,0.033968929752253
275,,0.00201068174678,,0.174135569452335,0.036553522233403
276,,0.000565504241282,,0.151066327345401,0.057599489579908
277,,0.001319509896324,,0.13558761006075,0.049353408806716
278,,0.003644360666038,,0.17145656069153,0.054891821266322
279,,0.004052780395853,,0.150470992065223,0.03864581138481
280,,0.003078856424757,,0.140350292302181,0.041845783028138
281,,0.00219918316054,,0.112369534133772,0.043814996347109
282,,0.001570845114672,,0.127699417598379,0.045907285498516
283,,0.002858938108702,,0.12993192489905,0.043322693017367
284,,0.001759346528432,,0.103886006391222,0.054522593769015
285,,0.002356267672008,,0.106118513691893,0.058953323736701
286,,0.001947847942193,,0.110583528293235,0.061784067882722
287,,0.003770028275212,,0.085281778885631,0.044430375509288
288,,0.000471253534402,,0.119811225136008,0.043568844682238
289,,0.001256676091737,,0.115495044354711,0.059691778731315
290,,0.001068174677977,,0.100760496170283,0.080614670245384
291,,0.001319509896324,,0.106416181331982,0.064860963693614
292,,0.002262016965127,,0.088853790566704,0.064614812028743
293,,0.003393025447691,,0.124722741197484,0.051322622125687
294,,0.003455859252278,,0.103588338751132,0.042461162190317
295,,0.002890355010996,,0.093318805168046,0.054522593769015
296,,0.002827521206409,,0.126508747038021,0.069783996991042
297,,0.001162425384857,,0.087365452366257,0.071383982812706
298,,0.001916431039899,,0.094509475728404,0.071507058645142
299,,0.002796104304116,,0.086621283266033,0.049968787968894
300,,0.002576185988062,,0.13558761006075,0.06153791621785
301,,0.005906377631166,,0.106565015152027,0.060307157893493
302,,0.002073515551367,,0.103439504931088,0.068922466163992
303,,0.002701853597235,,0.111923032673637,0.097476059289075
304,,0.003455859252278,,0.10195116673064,0.108675960040723
305,,0.001602262016965,,0.078584256983618,0.107445201716366
306,,0.002670436694942,,0.082602770124826,0.054153366271708
307,,0.002576185988062,,0.087960787646436,0.058584096239393
308,,,,0.063105539698966,0.077414698602056
309,,,,0.090490962587196,0.069414769493735
310,,,,0.079030758443752,0.100799106764839
311,,,,0.0748634114825,0.113968220835458
312,,,,0.064445044079368,0.114952827494944
313,,,,0.058342857457534,0.109168263370466
314,,,,0.072779738001873,0.101168334262146
315,,,,0.050305831175119,0.07815315359667
316,,,,0.053431341396058,0.086645386034733
317,,,,0.067421720480263,0.099691424272917
318,,,,0.051943003195611,0.101537561759453
319,,,,0.055515014876685,0.108429808375852
320,,,,0.044650146013419,0.099199120943174
321,,,,0.050752332635253,0.087629992694219
322,,,,0.041375801972435,0.070153224488349
323,,,,0.03616661827087,0.081722352737305
324,,,,0.056110350156863,0.109783642532645
325,,,,0.043608309273106,0.11162978001918
326,,,,0.03304110804993,0.100306803435096
327,,,,0.03869679321163,0.129352699889921
328,,,,0.03051093310917,0.106460595056881
329,,,,0.023069242106933,0.076799319439877
330,,,,0.028724927268633,0.080368518580512
331,,,,0.050752332635253,0.122460453273522
332,,,,0.036315452090914,0.106460595056881
333,,,,0.030808600749259,0.114829751662508
334,,,,0.029320262548812,0.09132226766729
335,,,,0.032743440409841,0.085783855207683
336,,,,0.022771574466844,0.061784067882722
337,,,,0.025450583227649,0.066091722017971
338,,,,0.035720116810735,0.084060793553583
339,,,,0.027236589068186,0.083568490223841
340,,,,0.033189941869975,0.112245159181359
341,,,,0.027236589068186,0.102152940921631
342,,,,0.033934110970199,0.085537703542812
343,,,,0.024111078847246,0.069291693661299
344,,,,0.024557580307381,0.071753210310013
345,,,,0.039738629951943,0.10104525842971
346,,,,0.029022594908723,0.110029794197516
347,,,,0.030659766929215,0.112737462511101
348,,,,0.037952624111406,0.105968291727138
349,,,,0.036761953551049,0.090953040169983
350,,,,0.035422449170646,0.081845428569741
351,,,,0.026641253788007,0.074583954456034
352,,,,0.037059621191138,0.118152799138272
353,,,,0.032296938949707,0.111999007516487
354,,,,0.028427259628544,0.099199120943174
355,,,,0.033487609510064,0.099199120943174
356,,,,0.025004081767515,0.11421437250033
357,,,,0.020985568626307,0.075076257785777
358,,,,0.023813411207157,0.081230049407562
359,,,,0.035720116810735,0.115445130824687
360,,,,0.02232507300671,0.135629567344142
361,,,,0.018753061325636,0.135506491511706
362,,,,0.018157726045457,0.138706463155034
363,,,,0.013246209983981,0.127629638235821
364,,,,0.008334693922505,0.063630205369257
365,,,,0.005804518981744,0.106829822554188
366,,,,0.008334693922505,0.14141413146862
367,,,,0.004613848421387,0.195075194410585
368,,,,0.045840816573777,0.163690857139481
369,,,,,0.204552033508134
370,,,,,0.166275449620631
