Region,Categoria,Fecha,Total
Magallanes,Casos acumulados,2020-03-06,0.0
Total,Casos acumulados,2020-03-06,5.0
Arica y Parinacota,Casos nuevos totales,2020-03-06,0.0
Tarapacá,Casos nuevos totales,2020-03-06,0.0
Antofagasta,Casos nuevos totales,2020-03-06,0.0
Atacama,Casos nuevos totales,2020-03-06,0.0
Coquimbo,Casos nuevos totales,2020-03-06,0.0
Valparaíso,Casos nuevos totales,2020-03-06,0.0
Metropolitana,Casos nuevos totales,2020-03-06,1.0
O’Higgins,Casos nuevos totales,2020-03-06,0.0
Maule,Casos nuevos totales,2020-03-06,0.0
Ñuble,Casos nuevos totales,2020-03-06,0.0
Biobío,Casos nuevos totales,2020-03-06,0.0
Araucanía,Casos nuevos totales,2020-03-06,0.0
