Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
2020-03-18,15,7,0,0,0,0,0,4,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,4,6,0,0,0,0,19,0,0,0,0,0,0,0,16,0,0,0,0,0,4,6,7,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,14,8,6,0,2,0,0,2,0,0,0,0,0,0,4,4,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,12,0,3,0,0,1,2,3,0,0,6,0,0,0,0,0,0,0,0,0,20,0,0,0,2,0,0,0,0,0,0,0,0,11,0,21,0,18,0,0,0,0,12,0,0,0,13,7,0,0,0,1,16,0,18,0,6,0,11,3,0,15,0,0,9,9,41,3,0,19,3,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,10,0,0,8,1,8,0,22,0,0,11,0,0,1,0,0,0,0,0,0
2020-03-19,16,4,0,0,0,0,0,7,0,0,13,0,0,0,4,0,0,0,5,0,0,0,0,0,0,14,0,0,6,7,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,10,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,5,0,2,1,0,5,0,0,0,0,0,0,13,9,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4,0,6,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,0,0,0,10,0,20,0,18,0,0,0,0,14,0,0,0,6,7,1,0,0,1,12,0,36,0,5,1,5,9,0,14,0,0,13,10,39,4,0,15,3,0,0,0,18,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,9,0,0,6,5,6,0,30,0,0,10,0,0,0,0,0,0,3,1,0
2020-03-20,17,4,0,0,0,0,2,6,0,0,5,0,0,0,3,1,0,0,3,0,0,0,0,1,0,17,0,4,2,9,0,0,0,0,14,0,0,0,0,0,0,0,5,0,0,0,0,0,12,2,10,0,0,7,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,8,0,2,2,0,3,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,2,5,1,0,0,0,6,0,0,3,0,0,4,0,0,0,0,0,0,15,0,0,1,3,0,0,0,0,0,0,0,0,8,0,21,0,25,0,0,0,0,10,0,0,0,5,4,0,0,0,0,14,0,34,0,21,0,8,31,0,9,0,0,15,6,52,7,0,28,2,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,4,9,5,0,27,0,0,19,0,0,0,0,0,0,4,0,0
2020-03-23,13,11,0,0,0,0,0,19,0,1,12,0,0,0,1,1,0,0,7,0,0,0,0,0,0,26,0,5,5,6,0,0,1,0,18,1,0,0,0,0,0,0,11,0,0,0,0,0,19,2,9,0,0,9,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14,0,3,3,0,7,0,0,0,0,0,0,14,15,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,13,1,11,0,0,0,2,8,0,0,6,0,0,0,0,0,0,0,0,4,11,0,0,0,4,0,0,0,0,0,0,0,0,13,1,27,0,25,0,0,0,0,20,0,0,0,19,8,0,0,0,1,27,0,48,0,28,0,22,29,0,23,0,0,17,17,72,5,0,17,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,15,0,0,6,15,10,0,28,0,0,12,0,0,0,0,0,0,0,0,0
2020-03-24,11,3,0,0,0,0,1,12,0,0,9,0,0,0,1,0,0,0,3,0,0,0,0,1,0,22,0,2,8,3,0,0,0,0,15,0,0,1,0,0,0,0,9,0,0,0,0,0,5,1,10,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,7,0,6,1,0,3,0,0,0,0,0,0,14,12,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,12,0,5,2,0,0,0,6,0,0,9,0,0,3,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,9,0,33,0,19,0,0,0,0,9,0,0,0,13,8,0,0,0,0,16,0,25,0,8,0,12,21,0,12,0,0,10,6,56,3,0,14,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,3,5,0,0,7,4,13,1,30,0,0,5,0,0,0,0,1,0,2,0,0
2020-03-25,11,4,0,0,0,0,1,9,0,0,9,0,0,0,1,0,0,0,3,0,0,0,0,0,0,12,0,2,2,9,0,0,0,0,22,0,0,0,0,0,0,0,8,0,0,0,0,0,11,1,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,5,1,5,0,0,4,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,4,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,1,0,0,0,0,0,10,0,26,0,20,0,0,0,0,22,0,0,0,9,6,0,0,0,0,9,0,22,0,13,1,12,21,0,19,0,0,7,8,46,4,0,17,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,6,0,0,3,4,8,0,31,0,0,11,0,0,0,0,0,0,0,0,0
2020-03-26,11,7,0,0,0,0,1,5,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,7,0,0,0,0,0,6,4,9,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,1,0,5,1,0,2,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,4,1,0,0,0,13,0,0,5,0,0,2,0,0,0,0,0,1,20,0,0,0,2,0,0,0,0,0,1,0,0,14,0,29,0,17,0,0,0,0,14,0,0,0,7,2,1,0,0,0,10,0,26,0,12,0,10,25,0,9,0,0,8,3,48,9,0,26,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,3,3,0,0,1,4,6,0,32,0,0,6,0,0,0,0,0,0,0,0,0
2020-03-27,13,1,0,0,0,0,0,5,0,0,7,0,0,0,6,0,0,0,2,0,0,0,0,0,0,14,0,3,0,9,0,0,0,0,17,0,0,0,0,0,0,0,12,0,0,0,0,0,6,1,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,3,0,10,0,0,5,0,0,0,0,0,0,7,12,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,0,2,0,0,0,0,6,0,0,5,0,0,2,0,0,0,0,0,1,13,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,18,0,0,0,0,3,0,0,0,9,7,0,0,0,0,11,0,6,0,18,0,8,20,0,18,0,0,10,14,42,5,0,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,8,5,4,0,26,0,0,9,0,0,0,0,0,0,3,0,0
2020-03-30,24,13,0,0,0,0,0,15,0,1,11,0,0,0,5,0,0,0,3,0,0,0,0,0,0,22,0,3,2,11,0,0,0,0,21,0,0,0,0,0,0,0,14,0,0,0,0,0,8,2,11,0,0,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,3,0,7,1,1,7,0,0,0,0,0,0,19,24,5,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,7,3,11,0,0,0,4,12,0,0,9,0,0,7,0,0,0,0,0,3,31,0,0,0,8,0,0,0,0,0,0,0,0,27,0,36,0,27,0,0,0,0,11,0,0,0,21,7,0,0,0,0,16,0,0,0,31,0,13,27,0,25,0,0,15,26,54,12,0,34,3,0,0,0,34,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,15,18,8,0,44,0,0,24,0,0,0,0,0,0,8,0,0
2020-03-31,23,14,0,0,0,0,0,13,0,0,13,0,0,0,2,0,0,0,6,0,0,0,0,0,0,11,0,1,3,5,0,0,0,0,21,4,0,0,0,0,0,0,11,0,0,0,0,0,5,0,16,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,1,0,4,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,0,0,6,0,36,0,19,0,0,0,0,31,0,0,0,8,1,0,0,0,0,15,0,11,0,16,0,13,23,0,13,0,0,20,14,50,4,0,26,1,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,8,0,0,5,7,6,0,30,0,0,1,0,0,0,0,0,0,1,0,0
2020-04-01,17,5,0,0,0,1,1,6,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,2,0,21,0,2,2,7,0,0,1,0,15,0,0,0,0,0,0,0,8,0,0,0,0,0,7,3,6,0,0,9,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,4,0,0,2,0,11,0,1,0,0,0,0,5,14,3,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,5,0,5,0,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,3,21,0,0,0,2,0,0,0,0,0,0,0,0,11,0,34,0,14,0,0,0,0,12,0,0,0,8,9,0,0,0,1,16,0,27,0,13,0,8,16,0,11,0,0,19,8,40,3,0,14,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,10,0,0,2,6,5,0,23,0,0,12,0,0,0,0,0,0,1,0,0
2020-04-02,15,8,0,0,0,0,1,12,0,0,11,0,0,0,2,0,0,0,2,0,0,0,0,1,0,17,0,4,1,8,0,0,0,0,20,1,0,0,0,0,0,0,6,0,0,0,0,0,10,0,14,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,1,0,0,0,0,1,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,24,0,17,0,11,0,0,0,0,11,0,0,0,8,9,0,0,0,1,9,0,31,0,20,0,6,24,0,13,0,0,9,5,36,5,0,17,4,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,13,0,0,11,10,8,0,17,0,0,11,0,0,0,0,0,0,4,0,0
2020-04-03,16,9,0,0,0,0,0,11,0,0,8,0,0,0,3,0,0,0,4,0,0,0,0,0,0,22,0,8,3,3,0,0,1,0,12,0,0,0,0,0,0,0,6,0,1,0,0,0,10,3,12,0,0,6,0,0,0,2,0,0,1,0,0,0,0,1,0,0,2,3,0,0,0,25,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,2,0,2,4,0,4,0,0,0,0,0,0,2,4,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13,0,1,0,0,0,3,20,0,0,14,0,0,3,0,0,0,0,0,4,24,0,0,0,6,0,0,0,0,0,0,0,0,11,0,38,0,32,0,0,0,0,20,0,0,0,8,6,0,0,0,1,13,0,38,0,10,0,5,17,0,13,0,0,23,16,46,6,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,3,3,5,0,24,0,0,15,0,0,0,0,0,0,3,0,0
2020-04-06,27,11,0,0,0,1,0,21,0,0,14,0,0,0,1,0,0,0,3,0,0,0,0,5,0,28,0,4,6,5,0,0,1,0,13,0,0,0,0,0,0,0,19,0,0,0,0,0,17,2,13,0,0,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,6,0,2,6,0,6,0,0,0,1,0,0,11,22,3,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,11,2,6,3,0,0,1,14,0,0,8,0,0,3,0,0,0,0,0,3,25,0,0,0,9,0,0,0,0,0,0,0,0,27,0,31,0,27,0,0,0,0,19,0,0,0,16,13,0,0,0,0,23,0,30,0,28,0,18,38,0,24,0,0,11,16,76,3,0,26,3,0,0,0,30,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,5,12,0,0,10,11,12,0,34,0,0,23,0,0,0,0,0,0,6,0,0
2020-04-07,16,6,0,0,0,0,3,12,0,0,10,0,0,0,5,0,0,0,5,0,0,0,0,0,0,13,0,3,8,6,0,0,0,0,12,2,0,0,0,0,0,0,8,0,0,0,0,0,7,2,15,0,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,27,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,3,0,4,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,4,0,0,0,0,0,0,0,0,13,0,40,0,16,0,0,0,0,16,0,0,0,10,7,0,0,0,0,17,0,23,0,12,0,12,27,0,19,0,0,7,13,56,5,0,21,3,0,0,0,16,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,6,16,0,0,2,0,9,0,31,0,0,14,0,0,0,0,0,0,3,0,0
2020-04-08,13,3,0,0,0,0,0,11,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,1,0,24,0,1,4,6,0,0,0,0,15,0,0,0,1,0,0,0,5,0,0,0,0,0,9,1,5,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,9,7,0,0,0,0,0,0,0,0,1,0,0,0,0,30,4,6,4,0,3,0,9,0,0,0,0,0,0,8,12,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,8,0,9,3,0,0,1,20,0,0,17,0,0,0,0,0,0,0,0,0,21,0,0,0,8,0,0,0,0,1,0,0,0,10,0,31,0,20,0,0,0,0,8,0,0,0,7,7,0,0,0,0,11,0,33,0,14,0,7,25,0,15,0,0,26,5,49,3,0,18,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,9,0,0,8,9,2,0,25,0,0,12,0,0,0,0,0,0,4,0,0
2020-04-09,14,8,0,0,0,0,1,15,0,0,6,0,0,0,4,1,0,0,2,0,0,0,0,1,0,29,0,2,2,4,0,0,0,0,24,1,0,0,0,0,0,0,9,0,0,0,0,0,12,2,11,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,3,2,5,0,0,4,0,0,0,0,0,0,8,17,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,18,0,31,0,14,0,0,0,0,21,0,0,0,6,9,0,0,0,0,11,0,30,0,12,0,9,22,0,19,0,0,17,11,38,6,0,33,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,5,7,3,0,36,0,0,23,0,0,0,0,0,0,1,0,0
2020-04-13,20,13,0,0,0,0,0,24,0,0,15,0,1,0,4,0,0,0,9,0,1,0,0,3,0,51,0,6,9,3,0,0,2,0,20,1,0,0,0,0,0,0,19,0,0,0,0,0,10,0,29,0,0,6,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,40,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,6,2,12,6,0,10,0,0,0,0,0,0,6,22,7,0,0,0,0,0,0,0,0,2,0,1,1,0,4,0,23,2,8,7,0,0,0,15,0,0,20,0,0,5,0,0,0,0,0,2,28,0,0,0,6,0,0,0,0,0,0,1,0,32,0,65,0,34,0,0,0,0,29,0,0,0,21,7,0,0,0,1,35,0,48,0,21,1,27,28,0,38,0,0,19,27,115,14,0,24,8,1,0,0,23,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,12,19,0,0,16,16,18,0,50,0,0,23,0,0,0,0,0,0,9,0,0
2020-04-14,27,7,0,0,0,0,0,11,0,0,10,0,0,0,1,0,0,0,5,0,0,0,0,2,0,23,0,6,2,8,0,0,0,0,19,1,0,0,1,0,0,1,11,0,0,0,0,0,9,2,20,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,4,0,0,0,0,0,0,0,0,0,0,0,7,23,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,10,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,4,0,0,1,0,0,0,0,0,22,0,56,0,27,0,0,0,0,16,0,0,0,12,9,0,0,0,0,14,0,36,0,16,0,11,20,0,24,0,0,22,11,68,7,0,19,1,0,0,0,19,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5,0,0,7,10,13,0,48,0,0,18,0,0,0,0,1,0,5,0,0
2020-04-15,15,11,0,0,0,0,0,8,0,0,4,0,0,0,5,0,0,0,8,0,0,0,0,2,0,17,0,5,2,6,0,1,0,0,17,1,0,0,0,0,0,0,7,0,1,0,0,0,8,2,7,0,0,11,0,1,0,8,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,27,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,3,1,7,2,0,11,0,0,0,0,0,0,6,18,10,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,22,0,7,4,0,0,1,14,0,0,14,0,0,3,0,0,0,0,0,1,31,0,0,0,8,0,0,0,0,0,0,0,0,20,0,43,0,23,0,0,0,0,21,0,0,1,11,4,0,0,0,0,11,0,27,0,15,0,9,24,0,22,0,0,5,9,64,4,0,18,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,11,0,0,3,6,6,0,27,0,0,17,0,0,0,0,0,0,4,0,0
2020-04-16,9,9,0,1,0,0,0,11,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,14,0,3,4,5,0,0,0,0,19,0,0,0,0,0,0,0,7,0,0,0,0,0,12,2,16,0,0,8,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,8,2,0,0,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,6,2,8,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,16,0,21,0,22,0,0,0,0,12,0,0,0,7,5,0,0,0,0,19,0,17,0,5,0,9,20,0,19,0,0,16,11,51,6,0,6,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,6,7,0,0,8,6,6,0,26,0,0,14,0,0,0,0,0,0,2,0,0
2020-04-17,17,2,0,0,0,0,0,6,0,1,11,0,0,0,1,0,0,0,3,0,0,0,0,3,0,21,0,2,6,4,0,0,0,0,18,1,0,0,0,0,0,0,9,0,0,0,0,0,10,5,18,1,0,7,0,0,0,5,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,33,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,5,0,1,2,0,3,0,0,0,0,0,0,4,9,7,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11,2,5,0,0,0,0,13,0,0,22,0,0,7,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,15,0,38,0,26,0,0,0,0,14,0,0,0,10,6,0,0,0,1,20,0,18,0,10,0,10,18,0,11,0,0,16,6,47,4,0,13,2,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,4,0,0,4,12,11,0,36,0,0,8,0,0,0,0,0,0,0,0,0
2020-04-20,25,11,0,0,0,0,1,10,0,0,12,0,0,0,3,0,0,0,5,0,0,0,0,1,0,28,0,4,9,8,0,0,0,0,23,5,0,0,0,0,0,0,15,0,0,0,0,0,16,3,18,0,0,6,0,0,0,8,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,34,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7,3,0,6,2,1,7,0,0,0,0,0,0,12,24,2,0,1,0,0,3,0,0,0,2,1,0,1,0,2,1,9,2,7,5,0,0,2,12,0,0,9,0,0,3,0,0,0,0,0,2,28,0,0,0,3,0,0,0,0,0,0,0,0,17,0,58,1,24,0,0,0,0,9,0,0,0,30,14,0,0,0,2,36,0,30,0,20,0,8,28,0,28,0,0,25,18,108,8,0,25,0,0,0,0,21,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,4,0,0,10,10,13,0,42,0,0,18,0,0,0,0,0,0,6,0,0
2020-04-21,25,7,0,1,0,0,2,18,0,0,5,0,0,0,4,1,0,0,3,0,0,0,0,2,0,13,0,4,1,4,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,9,0,21,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,0,1,0,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,28,6,5,1,3,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4,0,0,0,0,0,0,0,0,18,0,33,0,20,0,0,0,0,17,0,0,0,6,4,0,0,0,1,12,0,31,0,11,0,6,17,0,15,0,0,11,10,67,11,0,11,2,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,8,11,0,0,8,9,7,0,43,0,0,10,0,0,0,0,0,0,1,0,0
